10179,prog-rcpf-normal-baj-ata-tg2a-tg2b-tv2c-gnl-c,ATA-TG2A+TG2B+TV2C_GNL_C,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.645017,2019-07-31 16:03:27.150738,2.0
10180,prog-rcpf-normal-baj-ata-tg2a-tg2b-tv2c-gnl-d,ATA-TG2A+TG2B+TV2C_GNL_D,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.697236,2019-07-31 16:03:27.150738,2.0
10181,prog-rcpf-normal-baj-ata-tg2a-tg2b-tv2c-gnl-e,ATA-TG2A+TG2B+TV2C_GNL_E,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.754373,2019-07-31 16:03:27.150738,2.0
10182,prog-rcpf-normal-baj-ata-tg2a-tg2b-tv2c-gnl-inf,ATA-TG2A+TG2B+TV2C_GNL_INF,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.81232,2019-07-31 16:03:27.150738,2.0
10183,prog-rcpf-normal-baj-ata-tg2b-die,ATA-TG2B_DIE,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.868268,2019-07-31 16:03:27.150738,2.0
10184,prog-rcpf-normal-baj-ata-tg2b-gnl-a,ATA-TG2B_GNL_A,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.929353,2019-07-31 16:03:27.150738,2.0
10185,prog-rcpf-normal-baj-ata-tg2b-gnl-b,ATA-TG2B_GNL_B,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:29.993042,2019-07-31 16:03:27.150738,2.0
10186,prog-rcpf-normal-baj-ata-tg2b-gnl-c,ATA-TG2B_GNL_C,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:30.078155,2019-07-31 16:03:27.150738,2.0
10187,prog-rcpf-normal-baj-ata-tg2b-gnl-d,ATA-TG2B_GNL_D,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:30.144701,2019-07-31 16:03:27.150738,2.0
3910,qancjah4,Linea Ancoa - Jahuel Nº 4 - Extremo Ancoa ,{},135,,44,109051.0,2016-05-23 18:40:01.348388,2016-05-23 18:40:05.387513,1.0
10188,prog-rcpf-normal-baj-ata-tg2b-gnl-e,ATA-TG2B_GNL_E,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:30.211077,2019-07-31 16:03:27.150738,2.0
10189,prog-rcpf-normal-baj-ata-tg2b-gnl-inf,ATA-TG2B_GNL_INF,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:30.267663,2019-07-31 16:03:27.150738,2.0
9382,prog-sen-ata-tg1a-gnl-c,ATA-TG1A_GNL_C,{},1,,91,1260667.0,2018-01-29 22:45:04.557614,2022-04-20 12:37:26.636997,1.0
6831,qduqcha,Duqueco-Charrúa 220 kV,"{""abs_max_op"": 1000.0, ""abs_max_tol"": 1500.0}",10,,44,265233.0,2017-04-13 10:51:45.662487,2022-05-12 18:12:22.291565,1.0
6830,ppeutem,Los Peumos-Temuco 220 kV,"{""abs_max_op"": 1000.0, ""abs_max_tol"": 1500.0}",122,,45,265233.0,2017-04-13 10:50:03.341197,2022-05-12 19:23:19.887597,1.0
3911,qjahanc4,Linea Ancoa - Jahuel Nº 4 - Extremo Jahuel,{},135,,44,109051.0,2016-05-23 18:40:01.348388,2016-05-23 18:40:05.387513,1.0
9390,pcaumul1,Línea 220kV Mulchén - Cautín Nº1 Extremo Cautín,"{""abs_max_op"": 466.0, ""abs_max_tol"": 466.0}",135,,45,288908.0,2018-02-01 09:49:32.06861,2018-02-06 09:50:52.552284,1.0
3134,pldnorte,Luz Del Norte,{},1,265458.0,6,14401.0,2016-05-23 18:40:01.348388,2018-02-06 17:18:49.170609,1.0
9391,panccha3,Línea 500kV Charrua - Ancoa Circuito N° 3: Extremo Ancoa,"{""abs_max_op"": 1700.0, ""abs_max_tol"": 1700.0}",135,,45,265491.0,2018-02-01 09:50:26.919382,2018-02-01 10:41:40.829733,1.0
9389,pmulcha1,Línea 220kV Charrúa - Mulchén Nº2 Extremo Charrúa,"{""abs_max_op"": 466.0, ""abs_max_tol"": 466.0}",135,,45,288908.0,2018-02-01 09:48:03.55972,2018-02-06 09:50:29.027153,1.0
9393,qcaumul1,Línea 220kV Mulchén - Cautín Nº1 Extremo Cautín,"{""abs_max_op"": 466.0, ""abs_max_tol"": 466.0}",135,,44,288908.0,2018-02-01 10:04:06.453016,2018-02-06 09:45:53.044743,1.0
9392,qmulcha1,Línea 220kV Charrúa - Mulchén Nº2 Extremo Charrúa,"{""abs_max_op"": 466.0, ""abs_max_tol"": 466.0}",135,,44,288908.0,2018-02-01 09:53:27.793905,2018-02-06 09:43:51.459031,1.0
69,pcanel2,CANELA 2,"{""max_op"": 60.0, ""max_tol"": 63.0}",1,265458.0,6,3051.0,2016-05-23 18:40:01.348388,2018-02-06 17:18:49.310091,1.0
15692,eitihue,PMGD PFV Parque PVP Itihue,"{""scope"": ""global"", ""max_op"": 9.0, ""max_tol"": 9.45, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2265129.0,2022-06-23 17:45:56.17428,2022-06-23 17:45:56.174262,1.0
16001,prog-sen-puelche_sur_eo,PUELCHE_SUR_EO,{},1,,91,2267720.0,2022-08-16 12:54:45.090632,2022-08-16 12:54:45.090615,1.0
9394,qanccha3,Línea 500kV Charrua - Ancoa Circuito N° 3: Extremo Ancoa,"{""abs_max_op"": 1700.0, ""abs_max_tol"": 1700.0}",135,,44,265491.0,2018-02-01 10:08:49.582784,2018-02-01 10:45:45.880161,1.0
9658,pred-energi-12h-p75-parque-eolico-punta-sierra,Predicción a corto plazo de producción de energía (percentil 75) para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,19,1694920.0,2018-11-12 11:38:51.247457,2018-11-12 11:38:51.247442,1.0
9659,pred-energi-48h-p50-parque-eolico-punta-sierra,Predicción a mediano plazo de producción de energía (percentil 50) para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,20,1694920.0,2018-11-12 11:38:51.343848,2018-11-12 11:38:51.343832,1.0
9660,pred-energi-240h-p50-parque-eolico-punta-sierra,Predicción a largo plazo de producción de energía (percentil 50) para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,21,1694920.0,2018-11-12 11:38:51.383863,2018-11-12 11:38:51.383847,1.0
9661,pred-rampaeolica-12h-parque-eolico-punta-sierra,Predicción a corto plazo de rampas eólicas para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,22,1694920.0,2018-11-12 11:38:51.394626,2018-11-12 11:38:51.394611,1.0
9662,pred-velviento-48h-p50-parque-eolico-punta-sierra,Predicción a mediano plazo de velocidad del viento para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,23,1694920.0,2018-11-12 11:38:51.406259,2018-11-12 11:38:51.406245,1.0
9663,pred-dirviento-48h-p50-parque-eolico-punta-sierra,Predicción a mediano plazo de dirección del viento para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,24,1694920.0,2018-11-12 11:38:51.495933,2018-11-12 11:38:51.495918,1.0
9664,pred-temperatura-48h-p50-parque-eolico-punta-sierra,Predicción a mediano plazo de temperatura atomosférica para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,25,1694920.0,2018-11-12 11:38:51.50892,2018-11-12 11:38:51.508904,1.0
9665,pred-presion-48h-p50-parque-eolico-punta-sierra,Predicción a mediano plazo de presión atmosférica para PARQUE EÓLICO PUNTA SIERRA,"{""max_op"": 81.6, ""max_tol"": 85.68}",16,,26,1694920.0,2018-11-12 11:38:51.540794,2018-11-12 11:38:51.540776,1.0
